"","cyberDate","cyberTitle","cyberPrice","cyberCity","cyberDescriptive"
"1",2020-04-22,"Capa Alcatel U5 5047","3","Gaula, Achada de Cima","2 Capas de silicone para telemóvel Alcatel U5 504..."
"2",2020-04-22,"Samsung Galaxy S7 32GB Dourado DESBLOQUEADO em muito bom estado","170","Funchal, Centro","Vendo Samsung Galaxy S7 32GB desbloqueado em muito..."
"3",2020-04-22,"Iphone X APPLE WATCH SERIES 4 44MM","300","Santa Maria Maior, Conde Carvalhal","Vendo Apple Watch series 4 44MM space gray.Impecá..."
"4",2020-04-21,"Carregador universal de baterias","6","Caniço, Assomada","Carregador universal de baterias de telemóvel , e..."
"5",2020-04-21,"Vodafone Smart Ultra 7 VFD700","30","Caniço, Assomada","Disponível Vodafone Smart Ultra 7. Vendo peças o..."
"6",2020-04-21,"Huawei P30 Pro Novo","525","&Aacute;gua de Pena, Bem Posta","Vendo Huawei P30 Pro novo, versão 128 Gb, com 2 s..."
"7",2020-04-21,"Samsung S20+ 4G - Azul","850","Machico, Poço do Gil","Boas tenho para venda um Samsung S20+ 4G- Azul cla..."
"8",2020-04-21,"Iphone X iPhone XS Max 64gb","720","Caniço, Garajau","Vendo iPhone XS Max Gold 64gb, desbloqueado a toda..."
"9",2020-04-21,"Iphone X iPhone XR 64gb","620","Funchal, Centro","Vendo iPhone XR 64 gb, comprado em Fevereiro.
Equi..."
"10",2020-04-21,"Powerbank Xiaomi 10000 mAh","15","Imaculado Coração de Maria, Til","Powerbank Xiaomi 10000 mAh como nova."
"11",2020-04-21,"Wiko Harry (2017)","70","Monte, Livramento","Ecrã: capacitativo multi-toque 5 polegadas (5 IPS..."
"12",2020-04-21,"Central telefonica siemens euroset line 8I","10","Funchal, Centro","Siemens Euroset line 8i"
"13",2020-04-21,"Iphone X iPhone X 64GB","489","Funchal, Centro","Impecável e desbloqueado."
"14",2020-04-21,"Iphone 5s como novo","120","São Roque, Galeão","Boas, vendo iphone 5s como novo, vai com carregado..."
"15",2020-04-21,"Vendo Microsoft Lumia 950 XL Branco 32GB","100","Machico, Serra D&Aacute;gua","Estou vendendo o meu Lumia 950 XL Branco em bom es..."
"16",2020-04-20,"Alcatel 1S 3GB 32GB","85","Funchal, Centro","Vendo Alcatel 1S comprado na Worten no dia 07-04-1..."
"17",2020-04-20,"Samsung Galaxy S10 Plus 128GB","599","Câmara de Lobos, Centro","Samsung S10 Plus 128GB Preto - Livre de operadora;..."
"18",2020-04-20,"Samsung j6 +","120","Funchal, Centro","Vendo Samsung j6+ em bom estado sempre usado com c..."
"19",2020-04-19,"Iphone 7 Plus iPhone 7 Plus - Rose Gold","400","Ponta Delgada, Lameiros","iPhone 7 Plus 
- telefone em condição imaculada
..."
"20",2020-04-19,"Nokia N96","10","Funchal, Centro","Boas vendo Nokia N96 em boas condicoes e a funcion..."
"21",2020-04-19,"Power bank -toyota gazoo racing  wrc edição limitada","40","Arco da Calheta, Fajã","Power Bank da Toyota Gazoo Rancing, ediçao limita..."
"22",2020-04-19,"Iphone 6 Vendo iPhone 6","80","São Pedro, Achada","Vendo iPhone 6 de 16 gigas . Com apenas uma marca ..."
"23",2020-04-18,"Alcatel Pixi4 desbloqueado","10","Funchal, Centro","Boas vendo Alcatel Pixi4 desbloqueado, Dual sim em..."
"24",2020-04-18,"Iphone 6S Plus iPhone 6s Plus","160","São Pedro, Achada","Vendo iPhone 6s Plus de 16 gigas com algumas marca..."
"25",2020-04-18,"Iphone 7 iPhone 7 rosa gold e branco","180","São Pedro, Achada","Vendo iPhone 7 desbloqueado sem nenhum risco de 32..."
